name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,dollar_price,USD,EUR,GBP,JPY,CNY,KZT
United Arab Emirates,ARE,AED,18.0,3.67305,42883.686,157490.338,2022-07-01,4.900559480540696,-0.04843505232219514,0.028432466470026396,0.10372817698855075,0.7323477763711359,0.3777412504594275,1.2396023546021508
Argentina,ARG,ARS,590.0,129.115,10658.458,1013547.474,2022-07-01,4.569569763389226,-0.1127049003127717,-0.04102910675196503,0.02918104036788871,0.6153429113580915,0.28468693929184563,1.0883369015809086
Australia,AUS,AUD,6.7,1.44843568945539,63529.289,84505.238,2022-07-01,4.625679999999994,-0.10180970873786532,-0.02925380043011183,0.041818464607042305,0.6351778799999979,0.30046174783333157,1.1139798140952353
Azerbaijan,AZE,AZN,4.7,1.69825,5397.928,9176.478,2022-07-01,2.7675548358604445,-0.4626107114834088,-0.41920034697324593,-0.37667764959704797,-0.021669365523332873,-0.22193078659404297,0.2647989176533265
Bahrain,BHR,BHD,1.6,0.377,26135.777,9827.052,2022-07-01,4.244031830238727,-0.17591614946820833,-0.10934656741108617,-0.044138218570516696,0.50026525198939,0.19316534040671973,0.9395629657698625
Brazil,BRA,BRL,22.9,5.39175,7563.562,40823.756,2022-07-01,4.247229563685259,-0.17529523035237693,-0.10867549038231239,-0.043418009271670055,0.5013956507627391,0.19406434985548882,0.9410243604095319
Canada,CAN,CAD,6.77,1.28915,52078.515,65300.047,2022-07-01,5.2515223209091255,0.019713072021189326,0.10208560362562458,0.18277375893255998,0.856413140441376,0.47641079716609114,1.3999957151537648
Switzerland,CHE,CHF,6.5,0.96845,93719.959,85645.594,2022-07-01,6.711755898600857,0.30325357254385565,0.4085305362687368,0.5116547675363652,1.372605710155403,0.8869402567676872,2.0673363671453404
Chile,CHL,CLP,3400.0,928.435,16069.808,12198055.496,2022-07-01,3.662076505086517,-0.2889171834783463,-0.2314758370992115,-0.17520906725005536,0.2945440445480838,0.02955466277481289,0.6736038397436344
China,CHN,CNY,24.0,6.74735,12358.797,79700.849,2022-07-01,3.5569519885584713,-0.3093297109595202,-0.25353729074521003,-0.19888572936282722,0.2573825279554196,0.0,0.6255609345044457
Colombia,COL,COP,14950.0,4295.1,6156.137,23050079.748,2022-07-01,3.480710577169332,-0.3241338685108094,-0.26953732973533717,-0.2160571960775387,0.23043118902935888,-0.021434478630687814,0.5907178833909292
Costa Rica,CRI,CRC,2650.0,678.105,12408.353,7703715.473,2022-07-01,3.9079493588751,-0.24117488177182522,-0.179876907127257,-0.11983237041357431,0.38146009836234795,0.09867925444191283,0.7859700755712433
Czech Republic,CZE,CZK,95.0,23.92,26410.645,572534.356,2022-07-01,3.971571906354515,-0.2288209890573758,-0.1665250656309588,-0.10550298646799383,0.40395066889632103,0.11656607093088067,0.8150461856983595
Egypt,EGY,EGP,46.0,18.945,3925.834,61795.891,2022-07-01,2.42808128793877,-0.5285279052546078,-0.4904423387451524,-0.45313555642814407,-0.14167326471364483,-0.3173702384094309,0.10965627317171256
Euro area,EUZ,EUR,4.65,0.975849999999997,42707.3002876873,36088.6366455775,2022-07-01,4.765076599887292,-0.07474240778887531,0.0,0.0732140543724451,0.6844545780601579,0.3396516498437301,1.1776853878303961
Britain,GBR,GBP,3.69,0.831079999999998,47202.581,34311.091,2022-07-01,4.440005775617279,-0.13786295619081967,-0.06821943308900891,0.0,0.5695420416807082,0.2482613737546353,1.0291249252263883
Guatemala,GTM,GTQ,26.0,7.7279,4673.632,36152.75,2022-07-01,3.3644327695751755,-0.34671208357763583,-0.29393941544302693,-0.24224585741503235,0.18932698404482462,-0.054124773008622507,0.5375778179127082
Hong Kong,HKG,HKD,21.0,7.84995,49727.395,386543.475,2022-07-01,2.675176275008121,-0.480548296114928,-0.43858693162007156,-0.3974836047063024,-0.054325186784629165,-0.24790205670099807,0.22258103554799713
Honduras,HND,HNL,89.0,24.615,2789.583,68053.871,2022-07-01,3.61568149502336,-0.29792592329643497,-0.24121230388848713,-0.18565838024823655,0.2781434084907577,0.016511188976911173,0.6524008782875328
Croatia,HRV,HRK,27.0,7.32845,16817.843,106962.878,2022-07-01,3.684271571751189,-0.2846074617958857,-0.22681797563583084,-0.17021018486423545,0.3023900006140452,0.03579457456897428,0.6837471965909767
Hungary,HUN,HUF,1030.0,389.04615,18968.393,5656898.959,2022-07-01,2.6475008170624488,-0.4859221714441847,-0.4443949091762618,-0.4037168078470854,-0.06410846116842439,-0.25568272341640363,0.20993308769103503
Indonesia,IDN,IDR,35000.0,14977.5,4356.56,62335657.313,2022-07-01,2.3368385912201637,-0.5462449337436576,-0.5095905507006044,-0.47368568661483756,-0.1739275580036721,-0.3430221721471095,0.0679574917932455
India,IND,INR,191.0,79.9513,2282.97,169854.02,2022-07-01,2.3889542759154634,-0.5361253833173858,-0.49865354190277467,-0.4619479350602117,-0.1555046634638837,-0.32837039026674164,0.0917748560388516
Israel,ISR,ILS,17.0,3.43745,51416.022,166083.949,2022-07-01,4.945526480385169,-0.039703596041714806,0.0378692507277103,0.11385586648197754,0.7482436108161572,0.39038325405945296,1.2601527017882166
Jordan,JOR,JOD,2.3,0.71015,4416.632,3131.386,2022-07-01,3.238752376258537,-0.3711160434449443,-0.3203147298124981,-0.27055221548484043,0.14489896500739285,-0.08945850641883168,0.4801406812108777
Japan,JPN,JPY,390.0,137.865,39339.836,4317717.144,2022-07-01,2.828854314002829,-0.4507079001936255,-0.4063360253076017,-0.3628714787855106,0.0,-0.20469707685054228,0.29281336296895
South Korea,KOR,KRW,4600.0,1313.45,34801.086,39810760.184,2022-07-01,3.5022269595340516,-0.31995593018756285,-0.26502189710509816,-0.21121117031719427,0.23803723019528733,-0.015385371857829955,0.6005510750495333
Kuwait,KWT,KWD,1.3,0.3074,28578.756,8676.51,2022-07-01,4.229017566688354,-0.1788315404488634,-0.11249746398864147,-0.04751980506142295,0.4949577098243332,0.18894423660811088,0.9327013043343557
Lebanon,LBN,LBP,130000.0,25600.0,,,2022-07-01,5.078125,-0.013956310679611672,0.06569640456988912,0.14372035907858827,0.7951171875,0.42766194661458323,1.320751488095238
Sri Lanka,LKA,LKR,1340.0,360.0,3742.678,743910.854,2022-07-01,3.7222222222222223,-0.2772384034519957,-0.2188536439665496,-0.16166275218307924,0.3158055555555557,0.04646400462962963,0.7010910052910053
Moldova,MDA,MDL,60.0,19.298,5284.908,93492.536,2022-07-01,3.109130479842471,-0.39628534371990853,-0.34751720887005033,-0.29974629832317745,0.09907762462431347,-0.12590035236812103,0.42090224005448396
Mexico,MEX,MXN,70.0,20.4125,10039.576,203526.384,2022-07-01,3.429271279853031,-0.3341220815819358,-0.2803323917323506,-0.22764260833055538,0.21224739742804655,-0.03589610124515219,0.5672096346193098
Malaysia,MYS,MYR,10.9,4.45,11399.123,47223.285,2022-07-01,2.4494382022471908,-0.5243809316024872,-0.48596037211550236,-0.44832544684997544,-0.13412359550561803,-0.3113659644194757,0.11941658640984465
Nicaragua,NIC,NIO,139.0,35.89,2177.478,76651.014,2022-07-01,3.872945110058512,-0.24797182328960932,-0.18722290631170158,-0.12771619998172867,0.3690860964056841,0.08883817451472087,0.7699728004882644
Norway,NOR,NOK,62.0,9.89765,89089.978,765282.911,2022-07-01,6.264113198587543,0.21633265991991113,0.3145881429766957,0.41083447075396307,1.2143640157006965,0.7610901746037357,1.8627593899754462
New Zealand,NZL,NZD,7.1,1.60372063186593,48424.147,68441.252,2022-07-01,4.427204999999997,-0.14034854368932104,-0.07090580661290669,-0.0028830538211410683,0.565016967499999,0.24466256903124917,1.0232748488571417
Oman,OMN,OMR,1.42,0.385,18298.718,7035.857,2022-07-01,3.688311688311688,-0.2838229731433616,-0.22597011590560212,-0.16930024988561765,0.30381818181818177,0.03693041125541119,0.6855935683364254
Pakistan,PAK,PKR,700.0,221.75,1562.258,249283.481,2022-07-01,3.156708004509583,-0.387046989415615,-0.33753257931168446,-0.2890306535534367,0.11589627959413762,-0.11252442690717779,0.4426456219466366
Peru,PER,PEN,13.9,3.89285,6643.005,25776.245,2022-07-01,3.5706487534839515,-0.30667014495457257,-0.25066288471240783,-0.19580087641045096,0.2622243343565769,0.003850702784164106,0.6318204865207704
Philippines,PHL,PHP,155.0,56.265,3571.798,175927.495,2022-07-01,2.7548209366391183,-0.4650833132739577,-0.4218726858023064,-0.37954564118644085,-0.026170798898071723,-0.22551078971533522,0.25897940443394973
Poland,POL,PLN,16.68,4.64845,17815.192,68792.474,2022-07-01,3.588292871817487,-0.30324410255971124,-0.24696008624449806,-0.1918269810541814,0.26846153018748176,0.008811162860738353,0.6398840166384185
Qatar,QAT,QAR,13.0,3.64175,68581.039,249634.984,2022-07-01,3.5697123635614747,-0.30685196824049044,-0.25085939570291305,-0.1960117747672998,0.2618933205189813,0.0035874465115215415,0.6313925474081992
Romania,ROU,RON,11.0,4.82175,14667.089,61021.203,2022-07-01,2.2813293928552913,-0.5570234188630503,-0.5212397230069185,-0.4861877420557802,-0.19355005962565452,-0.3586280050465771,0.042589259481466746
Saudi Arabia,SAU,SAR,17.0,3.755,23507.276,88152.283,2022-07-01,4.527296937416778,-0.12091321603557714,-0.04990049110147332,0.01966014600225674,0.6003994673768309,0.2728023746116288,1.0690178175131573
Singapore,SGP,SGD,5.9,1.3914,72794.906,97798.743,2022-07-01,4.2403334770734515,-0.17663427629641726,-0.11012270460169571,-0.044971179911599934,0.49895788414546516,0.19212558693881476,0.9378727831509204
Sweden,SWE,SEK,57.0,10.19785,60028.543,514838.802,2022-07-01,5.589413454796844,0.08532300093142586,0.1729955096480611,0.258875266670068,0.9758576562706844,0.5714053697593118,1.554415181351251
Thailand,THA,THB,128.0,36.6125,7336.086,231302.799,2022-07-01,3.4960737453055653,-0.3211507290668806,-0.26631321196636015,-0.21259702757492072,0.2358620689655173,-0.01711528394218731,0.5977389975450749
Turkey,TUR,TRY,47.0,17.565,9527.683,84481.339,2022-07-01,2.6757756902931966,-0.4804319047974376,-0.4384611381994391,-0.39734860143933204,-0.05411329348135496,-0.24773353733750836,0.22285497404199361
Taiwan,TWN,TWD,75.0,29.9075,33775.172,946498.54,2022-07-01,2.5077321742037952,-0.5130617137468358,-0.4737267866243514,-0.4351961909655053,-0.11351667641895835,-0.29497722143275096,0.1460574867746982
Uruguay,URY,UYU,255.0,41.91,16756.344,729194.218,2022-07-01,6.0844667143879745,0.18144984745397563,0.2768874931689218,0.37037360352128634,1.150858983536149,0.7105844368885708,1.780659235777346
United States,USA,USD,5.15,1.0,69231.4,69231.4,2022-07-01,5.15,0.0,0.08078010752687859,0.1599084010840084,0.8205250000000002,0.44786885416666666,1.3535990476190478
Venezuela,VEN,VES,10.0,5.6732,1685.657,,2022-07-01,1.7626736233519003,-0.6577332770190485,-0.6300849343337749,-0.6030019526029013,-0.37689487414510325,-0.5044426719781898,-0.19444136676034018
Vietnam,VNM,VND,69000.0,23417.0,3724.543,85420189.717,2022-07-01,2.946577272921382,-0.4278490732191492,-0.3816306598321889,-0.33635733333888984,0.04161506597770859,-0.17160049323141313,0.346613876365766
South Africa,ZAF,ZAR,39.9,17.03625,6950.433,102744.775,2022-07-01,2.342064714946071,-0.5452301524376562,-0.5084937952515879,-0.4725086332527435,-0.17208012326656397,-0.3415529019003596,0.07034588010859189
Kazakhstan,KAZ,KZT,1050.0,479.86,,,2022-07-01,2.188138206977035,-0.5751187947617409,-0.5407968453164445,-0.5071767205814444,-0.22649314383361807,-0.3848277362147293,0.0
